"I.identify.as.","My.generation.is.","Where.were.you.born.","Where.do.you.currently.live.","My.immigration.status.is.","I.describe.my.ethnic.background.as...ie..Asian.Laotian..Asian.Vietnamese..Asian.Korean..Asian.Japanese..etc.","What.is.your.individual.annual.income.","My.marital.status.is.","What.is.your.highest.level.of.education.","What.is.your.parents.highest.level.of.education.","I.take.care.of.others.financially.","I.consider.myself.the.primary.person.in.charge.of.finances.and.investment.decisions.in.my.family.","My.net.worth..including.all.properties.owned..investments..other.assets.minus.debts.is.approximately"
"Female","Gen X (Ages 42-57)","Texas","South","3+ Generation (You are a child of second+ generation)","Caucasian ","<50k","Married","Graduate","Currently pursuing undergraduate degree","Yes","Strongly Agree","10-20k"
"Female","Gen X (Ages 42-57)","Japan ","Pacific","Immigrant (Moved to country, Student VISA, etc)","Japanese ","50-100k","Married","Graduate","Graduate","Yes","Strongly Agree","1million "
"Female","Millennial (Ages 26-41)","New Jersey","South","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Vietnamese","100-150k","Living with partner","Undergraduate","Graduate","Yes","Strongly Agree","<10k"
"Male","Millennial (Ages 26-41)","Los Angeles","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Armenian","200k+","Single","Graduate","Graduate","No","Disagree","100-150k"
"Male","Millennial (Ages 26-41)","CA","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Filipino","100-150k","Living with partner","Undergraduate","Graduate","No","Strongly Agree","100-150k"
"Male","Millennial (Ages 26-41)","Los Angeles ","Pacific","3+ Generation (You are a child of second+ generation)","American Chinese ","200k+","Single","Undergraduate","Graduate","Yes","Agree","900k"
"Male","Millennial (Ages 26-41)","Korea","Pacific","Immigrant (Naturalized, got citizenship)","Asian-Korean","100-150k","","Undergraduate","Graduate","No","Agree","200k+ "
"Male","Gen X (Ages 42-57)","Southern California","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Chinese American","150k-200k","Married","Graduate","Graduate","Yes","Agree","3 m."
"Female","Millennial (Ages 26-41)","New York","South","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Taiwanese","50-100k","Single","Graduate","Graduate","Yes","Strongly Agree","51-100k"
"Female","","South Vietnam","Pacific","Immigrant (Naturalized, got citizenship)","Asian-Vietnamese","150k-200k","Divorced","Undergraduate","Graduate","Yes","Strongly Agree","2,700,000"
"Female","Gen Z (Ages 10-25)","Vietnam","South","Immigrant (Moved to country, Student VISA, etc)","Vietnamese","50-100k","Married","Undergraduate","Graduate","Yes","Neutral","100-150k"
"Male","Millennial (Ages 26-41)","Sacramento CA","Texas","First Generation Citizen (You are a child of someone who immigrated to US)","Chinese Taiwan","200k+","Married","Graduate","Graduate","Yes","Strongly Agree","1.5m"
"Male","Millennial (Ages 26-41)","Houston TX","South","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Taiwanese","100-150k","Single","Undergraduate","Graduate","No","Strongly Agree","51-100k"
"Female","Millennial (Ages 26-41)","Seoul, South Korea","Pacific","Immigrant (Naturalized, got citizenship)","Asian - Korean","200k+","Married","Undergraduate","Graduate","Yes","Strongly Agree","1M+"
"Female","Millennial (Ages 26-41)","San jose","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian Taiwanese ","50-100k","Single","Graduate","Graduate","No","Agree","51-100k"
"Female","Millennial (Ages 26-41)","","Northeast","Immigrant (Moved to country, Student VISA, etc)","","200k+","Married","Graduate","High School","No","Agree",""
"Female","Millennial (Ages 26-41)","Taiwan","Midwest","Immigrant (Naturalized, got citizenship)","Asian-Taiwanese","50-100k","Married","Undergraduate","High School","Yes","Neutral","Not sure"
"Male","Millennial (Ages 26-41)","China","Pacific","Immigrant (Naturalized, got citizenship)","Asian-chinese","100-150k","Single","Undergraduate","High School","Yes","Strongly Agree","100-150k"
"Male","Millennial (Ages 26-41)","Seattle","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Chinese ","<50k","Living with partner","Undergraduate","High School","No","Agree","100-150k"
"Female","Millennial (Ages 26-41)","Minneapolis, MN","Midwest","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Chinese","50-100k","Single","Undergraduate","High School","No","Neutral","<5k"
"Male","Millennial (Ages 26-41)","Houston","South","First Generation Citizen (You are a child of someone who immigrated to US)","Korean-American","150k-200k","Living with partner","Undergraduate","High School","Yes","Agree","150k+"
"Female","Millennial (Ages 26-41)","Taiwan","South","Immigrant (Naturalized, got citizenship)","Asian-Taiwanese","100-150k","Single","Undergraduate","High School","No","Agree","100-150k"
"Female","Gen X (Ages 42-57)","Vietnam","South","Immigrant (Naturalized, got citizenship)","Asian - Chinese Vietnamese ","200k+","Married","Some college","High School","Yes","Strongly Agree","4 mil "
"Male","Millennial (Ages 26-41)","Canada","vancouver","First Generation Citizen (You are a child of someone who immigrated to US)","chinese-laos","50-100k","Single","High School","High School","No","Neutral","150k+"
"Female","Millennial (Ages 26-41)","1993","Northeast","First Generation Citizen (You are a child of someone who immigrated to US)","Chinese American","150k-200k","Single","Undergraduate","High School","Yes","Strongly Agree","more than 150K"
"Female","Millennial (Ages 26-41)","Philippines","Pacific","Immigrant (Naturalized, got citizenship)","Asian - Vietnamese","200k+","Married","Graduate","High School","Yes","Neutral","More than $1 Million"
"Female","Millennial (Ages 26-41)","Hong Kong","Pacific","Immigrant (Naturalized, got citizenship)","Chinese American","100-150k","Single","Graduate","Middle School or less","Yes","Strongly Agree","$1M+"
"Female","Millennial (Ages 26-41)","Ny","Northeast","First Generation Citizen (You are a child of someone who immigrated to US)","Chinese American","50-100k","Single","Graduate","Middle School or less","No","Strongly Agree","100-150k"
"Female","Millennial (Ages 26-41)","Vietnam ","South","Immigrant (Naturalized, got citizenship)","Asian chinese","50-100k","Single","Undergraduate","Middle School or less","Yes","Strongly Agree","100-150k"
